Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status,temperature_max,precipitation,windspeed_max,nuitees_hotels_france
INN31510,2,0,0,2,Meal Plan 1,0,Room_Type 1,134,2018,8,10,Online,0,0,0,114.3,1,Not_Canceled,23.1,0.0,21.1,55.2
INN02605,2,0,0,2,Not Selected,0,Room_Type 1,8,2018,3,25,Online,0,0,0,139.0,1,Not_Canceled,14.2,0.0,12.5,33.8
INN15870,3,0,2,2,Meal Plan 1,0,Room_Type 4,10,2018,4,29,Online,0,0,0,172.0,2,Not_Canceled,11.9,13.2,22.4,36.4
INN11829,2,0,2,0,Meal Plan 1,0,Room_Type 1,2,2018,8,21,Online,0,0,0,148.0,1,Not_Canceled,25.5,0.2,10.4,55.2
INN29923,2,0,1,2,Not Selected,0,Room_Type 1,52,2018,2,26,Online,0,0,0,79.5,1,Canceled,-0.4,0.0,29.1,27.3
INN08319,1,0,2,1,Meal Plan 1,0,Room_Type 1,116,2018,2,28,Offline,0,0,0,61.0,0,Canceled,-0.2,0.0,26.6,27.3
INN04660,2,2,0,2,Meal Plan 1,0,Room_Type 6,89,2018,7,21,Online,0,0,0,186.3,0,Canceled,25.0,0.0,14.5,53.7
INN05569,2,0,1,2,Meal Plan 1,0,Room_Type 1,193,2018,6,20,Online,0,0,0,120.0,0,Canceled,26.6,0.0,8.0,43.5
INN08460,2,0,0,1,Meal Plan 1,0,Room_Type 1,92,2018,11,11,Offline,0,0,0,90.0,0,Not_Canceled,13.2,7.3,26.7,31.4
INN05935,2,1,2,3,Meal Plan 1,0,Room_Type 1,95,2018,7,1,Online,0,0,0,130.5,1,Not_Canceled,31.5,0.1,15.0,53.7
INN08597,2,1,1,3,Meal Plan 1,0,Room_Type 1,6,2018,2,4,Online,0,0,0,109.0,1,Canceled,4.1,2.7,24.4,27.3
INN33986,2,0,1,2,Meal Plan 1,0,Room_Type 4,60,2018,4,1,Online,0,0,0,106.2,1,Not_Canceled,10.9,0.6,20.9,36.4
INN11598,2,0,2,2,Meal Plan 1,0,Room_Type 1,359,2018,9,16,Online,0,0,0,105.0,1,Canceled,24.9,0.0,8.8,42.8
INN32362,2,0,0,4,Meal Plan 1,0,Room_Type 1,67,2018,11,23,Online,0,0,0,88.4,2,Canceled,9.2,1.3,11.6,31.4
INN16793,2,1,1,4,Meal Plan 1,0,Room_Type 1,177,2018,8,3,Online,0,0,0,123.75,0,Canceled,33.7,0.0,17.7,55.2
INN25331,2,0,1,5,Not Selected,0,Room_Type 1,101,2018,4,12,Online,0,0,0,54.06,0,Not_Canceled,14.4,5.4,11.5,36.4
INN01599,1,0,0,1,Meal Plan 1,0,Room_Type 1,15,2018,2,19,Corporate,0,0,0,80.0,0,Not_Canceled,5.9,3.8,9.8,27.3
INN35682,1,0,0,1,Meal Plan 1,0,Room_Type 1,30,2018,8,31,Online,0,0,0,94.2,0,Not_Canceled,21.0,0.1,11.1,55.2
INN07925,2,0,2,2,Meal Plan 1,0,Room_Type 1,89,2018,5,8,Online,0,0,0,128.85,0,Not_Canceled,25.3,0.0,25.3,39.9
INN13401,2,0,0,4,Meal Plan 1,0,Room_Type 1,21,2017,9,29,Online,0,0,0,133.5,0,Canceled,24.3,3.1,15.8,41.2
INN32355,2,0,2,4,Meal Plan 1,0,Room_Type 1,6,2017,8,5,Offline,0,0,0,70.0,0,Not_Canceled,22.4,5.5,22.9,54.8
INN10945,2,0,1,3,Meal Plan 1,0,Room_Type 1,135,2018,6,16,Online,0,0,0,119.85,2,Not_Canceled,21.7,0.0,16.6,43.5
INN16526,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,3,2,Online,0,0,0,0.0,0,Not_Canceled,8.6,2.8,19.6,33.8
INN34901,2,0,1,3,Meal Plan 1,0,Room_Type 1,37,2017,9,21,Online,0,0,0,145.8,2,Not_Canceled,20.0,0.0,13.4,41.2
INN07956,2,0,2,5,Meal Plan 1,0,Room_Type 1,45,2018,11,7,Offline,0,0,0,75.0,1,Not_Canceled,12.6,2.7,25.9,31.4
INN25585,2,0,2,3,Meal Plan 1,0,Room_Type 1,168,2018,8,12,Offline,0,0,0,72.25,2,Not_Canceled,30.0,0.0,17.2,55.2
INN17548,2,0,2,3,Meal Plan 1,0,Room_Type 1,143,2018,6,2,Online,0,0,0,100.3,0,Canceled,22.6,0.0,9.4,43.5
INN15662,1,0,0,1,Meal Plan 1,0,Room_Type 1,25,2018,11,29,Online,0,0,0,75.2,0,Not_Canceled,13.4,2.9,26.2,31.4
INN05666,2,0,0,2,Meal Plan 2,0,Room_Type 1,102,2017,10,16,Online,0,0,0,101.5,0,Canceled,24.7,0.0,16.2,37.6
INN13535,2,1,2,2,Meal Plan 1,0,Room_Type 1,4,2017,12,5,Offline,0,0,0,81.6,2,Not_Canceled,8.4,0.2,10.0,35.8
INN33360,2,0,1,3,Not Selected,0,Room_Type 1,108,2018,10,17,Online,0,0,0,108.0,2,Not_Canceled,20.5,0.0,12.8,38.9
INN02133,1,0,0,1,Meal Plan 1,0,Room_Type 1,8,2018,7,28,Corporate,1,1,17,65.0,1,Not_Canceled,24.5,2.2,22.7,53.7
INN18974,2,0,2,2,Meal Plan 1,0,Room_Type 1,56,2017,9,25,Offline,0,0,0,185.0,0,Not_Canceled,19.5,0.4,10.1,41.2
INN13372,2,2,0,1,Meal Plan 1,0,Room_Type 6,12,2018,8,19,Online,0,0,0,220.0,0,Canceled,27.4,0.0,16.5,55.2
INN19993,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,2017,8,23,Online,0,0,0,80.0,0,Not_Canceled,28.6,0.4,23.8,54.8
INN11388,2,0,2,1,Meal Plan 1,0,Room_Type 1,37,2018,10,30,Offline,0,0,0,75.0,1,Not_Canceled,10.6,9.9,27.0,38.9
INN22553,3,0,1,1,Meal Plan 1,0,Room_Type 4,0,2018,5,9,Online,0,0,0,158.0,0,Not_Canceled,21.0,0.0,16.8,39.9
INN13506,1,0,0,2,Meal Plan 2,0,Room_Type 1,39,2017,8,14,Offline,0,0,0,87.0,0,Not_Canceled,26.4,0.0,13.8,54.8
INN09683,2,0,0,1,Meal Plan 1,1,Room_Type 6,36,2018,4,8,Online,0,0,0,103.95,0,Not_Canceled,20.7,0.1,16.8,36.4
INN31252,2,1,0,5,Meal Plan 1,0,Room_Type 5,63,2018,7,26,Offline,0,0,0,131.75,2,Not_Canceled,34.0,0.0,7.7,53.7
INN03931,0,2,2,2,Meal Plan 1,0,Room_Type 2,87,2018,5,29,Online,0,0,0,112.01,1,Not_Canceled,21.8,1.7,11.4,39.9
INN01896,2,0,1,2,Meal Plan 1,0,Room_Type 1,58,2017,11,13,Online,0,0,0,79.2,1,Not_Canceled,8.9,0.1,25.9,30.1
INN09536,2,0,0,2,Meal Plan 1,0,Room_Type 1,301,2018,11,18,Offline,0,0,0,52.0,0,Canceled,8.4,0.0,18.7,31.4
INN01809,2,0,0,2,Meal Plan 2,0,Room_Type 1,346,2018,9,13,Online,0,0,0,115.0,1,Canceled,19.0,1.7,14.8,42.8
INN19053,1,0,0,1,Meal Plan 1,0,Room_Type 1,361,2018,11,4,Online,1,1,0,91.0,0,Canceled,12.6,0.0,13.5,31.4
INN34904,1,0,1,0,Meal Plan 1,1,Room_Type 1,3,2018,6,6,Corporate,1,0,3,65.0,0,Not_Canceled,23.0,14.5,14.8,43.5
INN31661,2,0,0,4,Meal Plan 1,0,Room_Type 1,49,2017,12,30,Offline,0,0,0,71.0,0,Not_Canceled,14.4,6.4,32.9,35.8
INN25688,1,0,0,1,Meal Plan 1,0,Room_Type 1,19,2018,5,7,Online,0,0,0,135.0,0,Not_Canceled,24.5,0.0,13.8,39.9
INN27330,2,0,0,2,Meal Plan 2,0,Room_Type 1,74,2017,9,18,Offline,0,0,0,101.5,0,Not_Canceled,16.4,3.3,18.1,41.2
INN00629,2,0,0,3,Not Selected,0,Room_Type 1,34,2018,6,14,Online,0,0,0,107.1,1,Not_Canceled,19.7,1.5,18.7,43.5
INN34082,2,0,1,4,Meal Plan 1,0,Room_Type 1,73,2018,3,16,Online,0,0,0,79.05,1,Canceled,11.8,0.1,17.2,33.8
INN24739,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,11,25,Corporate,0,0,0,67.0,0,Not_Canceled,8.1,9.2,17.3,31.4
INN14655,2,0,0,2,Meal Plan 1,0,Room_Type 1,94,2018,4,12,Online,0,0,0,96.3,1,Not_Canceled,14.4,5.4,11.5,36.4
INN21507,2,0,1,4,Meal Plan 1,0,Room_Type 1,134,2018,5,9,Online,0,0,0,76.58,1,Not_Canceled,21.0,0.0,16.8,39.9
INN08476,1,0,1,0,Meal Plan 1,0,Room_Type 1,1,2018,1,18,Online,0,0,0,80.0,0,Not_Canceled,10.9,8.0,40.3,29.1
INN02267,2,0,0,1,Meal Plan 1,0,Room_Type 4,75,2018,7,30,Online,0,0,0,127.8,1,Not_Canceled,26.3,0.1,19.7,53.7
INN11049,2,0,0,4,Meal Plan 2,0,Room_Type 1,100,2018,9,28,Offline,0,0,0,140.0,1,Not_Canceled,20.0,0.0,25.1,42.8
INN06273,2,0,1,1,Not Selected,0,Room_Type 1,91,2018,6,18,Online,0,0,0,116.1,0,Canceled,21.6,0.8,15.6,43.5
INN09058,2,0,0,3,Meal Plan 1,0,Room_Type 1,22,2018,10,11,Offline,0,0,0,95.0,0,Not_Canceled,25.4,2.0,24.5,38.9
INN34653,2,0,1,1,Meal Plan 1,0,Room_Type 6,13,2017,8,24,Online,0,0,0,153.0,0,Not_Canceled,24.0,0.7,9.4,54.8
INN21203,1,0,0,2,Meal Plan 1,0,Room_Type 1,32,2017,11,20,Offline,0,0,0,73.0,0,Not_Canceled,10.5,0.0,24.0,30.1
INN23145,2,0,0,3,Meal Plan 1,0,Room_Type 1,63,2018,6,9,Online,0,0,0,126.9,1,Canceled,24.8,3.3,14.3,43.5
INN26962,3,0,1,3,Meal Plan 1,0,Room_Type 1,26,2018,9,5,Online,0,0,0,127.2,0,Canceled,24.6,0.2,13.4,42.8
INN01891,2,0,0,4,Meal Plan 2,0,Room_Type 1,296,2018,9,21,Online,0,0,0,117.0,1,Canceled,21.0,7.8,28.3,42.8
INN07221,1,0,0,1,Meal Plan 1,0,Room_Type 1,8,2018,4,5,Online,0,0,0,95.0,0,Canceled,10.2,0.8,25.4,36.4
INN23161,2,0,2,1,Meal Plan 1,0,Room_Type 1,7,2018,8,13,Online,0,0,0,130.67,0,Canceled,23.2,2.3,21.6,55.2
INN29729,2,0,0,2,Meal Plan 1,0,Room_Type 1,263,2018,10,21,Offline,0,0,0,110.0,0,Canceled,18.0,0.0,10.6,38.9
INN11390,2,0,0,5,Meal Plan 1,0,Room_Type 1,140,2017,12,29,Offline,0,0,0,70.0,0,Not_Canceled,8.0,8.4,36.1,35.8
INN24096,2,0,2,1,Meal Plan 2,0,Room_Type 1,131,2017,8,15,Offline,0,0,0,94.5,0,Not_Canceled,25.5,1.2,21.7,54.8
INN19618,3,0,0,3,Meal Plan 1,0,Room_Type 1,6,2018,3,3,Online,0,0,0,137.0,0,Canceled,11.7,0.2,16.2,33.8
INN11837,2,0,0,2,Meal Plan 1,1,Room_Type 1,219,2018,9,13,Online,0,0,0,145.1,1,Canceled,19.0,1.7,14.8,42.8
INN30815,1,0,1,1,Not Selected,0,Room_Type 1,19,2018,7,18,Offline,0,0,0,75.0,0,Not_Canceled,27.1,0.0,13.8,53.7
INN11243,3,0,0,2,Meal Plan 1,0,Room_Type 1,16,2017,10,1,Online,0,0,0,142.0,4,Not_Canceled,15.2,5.6,21.4,37.6
INN20748,1,0,0,2,Meal Plan 1,0,Room_Type 1,57,2018,9,16,Offline,0,0,0,75.0,0,Not_Canceled,24.9,0.0,8.8,42.8
INN28487,2,0,1,2,Meal Plan 1,0,Room_Type 1,7,2017,9,14,Online,0,0,0,152.0,1,Not_Canceled,15.6,6.0,33.1,41.2
INN06254,1,0,0,1,Meal Plan 1,1,Room_Type 1,18,2018,10,18,Corporate,1,0,10,65.0,1,Not_Canceled,21.3,0.0,25.1,38.9
INN14019,2,0,2,5,Meal Plan 1,0,Room_Type 1,31,2018,11,14,Online,0,0,0,64.67,1,Not_Canceled,13.4,0.0,10.6,31.4
INN14066,2,0,2,1,Meal Plan 1,0,Room_Type 1,6,2018,8,28,Offline,0,0,0,85.0,0,Not_Canceled,26.0,0.0,8.3,55.2
INN00580,2,0,1,4,Meal Plan 1,0,Room_Type 1,148,2017,12,30,Offline,0,0,0,67.0,0,Not_Canceled,14.4,6.4,32.9,35.8
INN15962,2,0,0,3,Not Selected,0,Room_Type 1,63,2018,11,10,Online,0,0,0,118.33,3,Not_Canceled,12.3,4.4,29.7,31.4
INN28110,2,0,0,3,Meal Plan 1,0,Room_Type 2,178,2018,8,23,Online,0,0,0,94.62,0,Canceled,26.5,0.0,21.5,55.2
INN09304,1,0,0,4,Meal Plan 1,0,Room_Type 1,151,2018,1,19,Offline,0,0,0,71.0,0,Not_Canceled,6.8,0.6,24.2,29.1
INN30213,2,0,1,3,Meal Plan 1,0,Room_Type 1,93,2017,12,3,Online,0,0,0,72.25,2,Not_Canceled,4.8,1.7,12.8,35.8
INN21162,1,0,0,2,Meal Plan 1,0,Room_Type 1,102,2018,12,6,Online,0,0,0,86.4,2,Canceled,13.4,1.3,21.9,37.2
INN28890,2,0,2,3,Meal Plan 1,0,Room_Type 1,167,2018,8,4,Offline,0,0,0,72.25,1,Not_Canceled,32.3,0.0,23.9,55.2
INN15932,2,0,2,1,Meal Plan 1,0,Room_Type 1,57,2018,10,30,Online,0,0,0,103.8,1,Not_Canceled,10.6,9.9,27.0,38.9
INN11199,2,0,0,2,Meal Plan 1,0,Room_Type 2,181,2017,8,6,Online,0,0,0,76.5,2,Canceled,23.5,0.0,12.6,54.8
INN09725,2,0,2,5,Meal Plan 1,0,Room_Type 1,245,2018,9,22,Online,0,0,0,107.59,0,Canceled,18.9,0.7,30.6,42.8
INN04336,2,0,0,2,Meal Plan 1,0,Room_Type 1,49,2018,6,3,Offline,0,0,0,80.75,0,Not_Canceled,24.5,0.1,14.3,43.5
INN18652,1,0,0,3,Meal Plan 1,0,Room_Type 1,71,2018,6,14,Offline,0,0,0,120.0,0,Not_Canceled,19.7,1.5,18.7,43.5
INN23921,2,0,0,3,Meal Plan 1,0,Room_Type 1,44,2018,2,17,Offline,0,0,0,75.0,0,Not_Canceled,8.6,2.9,11.2,27.3
INN22697,2,0,2,3,Not Selected,0,Room_Type 1,2,2018,6,26,Offline,0,0,0,63.75,0,Not_Canceled,25.5,0.0,16.4,43.5
INN32957,2,1,2,5,Meal Plan 1,0,Room_Type 1,147,2018,6,28,Online,0,0,0,106.25,2,Not_Canceled,26.8,0.0,23.2,43.5
INN15141,2,0,0,1,Meal Plan 1,0,Room_Type 4,0,2018,5,19,Online,0,0,0,223.0,0,Canceled,18.2,0.0,15.9,39.9
INN31098,2,0,0,2,Not Selected,0,Room_Type 1,44,2018,2,12,Online,0,0,0,67.5,0,Canceled,6.0,0.0,20.3,27.3
INN04795,2,0,2,2,Meal Plan 1,0,Room_Type 1,116,2018,3,25,Online,0,0,0,59.5,0,Canceled,14.2,0.0,12.5,33.8
INN03526,2,0,2,1,Meal Plan 1,0,Room_Type 4,11,2018,5,8,Online,0,0,0,126.0,1,Not_Canceled,25.3,0.0,25.3,39.9
INN31414,2,0,0,1,Meal Plan 1,0,Room_Type 1,129,2018,8,6,Online,0,0,0,114.3,1,Not_Canceled,32.5,0.0,10.1,55.2
INN02391,2,0,2,5,Meal Plan 1,0,Room_Type 2,13,2017,8,27,Online,0,0,0,85.29,1,Canceled,27.9,0.0,11.1,54.8
INN23101,2,0,2,2,Meal Plan 1,0,Room_Type 1,186,2018,9,2,Offline,0,0,0,80.75,0,Not_Canceled,23.6,0.0,13.0,42.8
INN25991,2,0,2,1,Meal Plan 1,0,Room_Type 1,20,2018,2,7,Online,0,0,0,93.0,2,Not_Canceled,0.1,8.8,19.3,27.3
INN30419,1,0,1,3,Meal Plan 1,1,Room_Type 1,12,2018,2,15,Online,0,0,0,95.0,0,Not_Canceled,10.6,6.3,24.6,27.3
INN04255,2,0,1,1,Meal Plan 1,0,Room_Type 1,10,2017,12,5,Online,0,0,0,80.75,0,Not_Canceled,8.4,0.2,10.0,35.8
INN10715,2,0,1,2,Not Selected,0,Room_Type 1,102,2018,11,7,Offline,0,0,0,59.5,0,Canceled,12.6,2.7,25.9,31.4
INN34190,1,0,1,0,Meal Plan 1,0,Room_Type 4,7,2018,8,8,Corporate,0,0,0,94.0,0,Not_Canceled,26.2,0.2,20.5,55.2
INN30104,2,0,2,1,Meal Plan 1,0,Room_Type 1,26,2017,9,12,Online,0,0,0,124.0,3,Not_Canceled,17.8,0.3,22.8,41.2
INN23389,2,0,2,2,Meal Plan 1,0,Room_Type 4,106,2018,4,17,Online,0,0,0,90.95,1,Not_Canceled,19.6,0.0,14.8,36.4
INN19153,2,0,0,2,Meal Plan 2,0,Room_Type 1,320,2018,8,18,Offline,0,0,0,115.0,1,Canceled,25.1,0.0,15.5,55.2
INN05222,1,0,3,7,Meal Plan 1,0,Room_Type 1,0,2017,11,30,Online,1,0,1,69.0,1,Not_Canceled,3.8,1.4,19.2,30.1
INN17768,2,0,0,2,Not Selected,0,Room_Type 1,13,2018,3,8,Online,0,0,0,81.0,0,Not_Canceled,9.6,10.7,34.7,33.8
INN07965,2,0,0,3,Meal Plan 1,0,Room_Type 1,15,2018,4,27,Online,0,0,0,103.44,0,Canceled,18.1,0.2,27.3,36.4
INN34332,2,0,0,4,Meal Plan 1,0,Room_Type 1,270,2018,4,20,Offline,0,0,0,80.0,0,Not_Canceled,26.5,0.0,9.5,36.4
INN22997,2,0,1,2,Meal Plan 1,0,Room_Type 1,102,2017,10,16,Online,0,0,0,89.25,0,Not_Canceled,24.7,0.0,16.2,37.6
INN21013,1,0,0,2,Meal Plan 2,0,Room_Type 1,102,2017,10,16,Offline,0,0,0,87.0,0,Not_Canceled,24.7,0.0,16.2,37.6
INN14932,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2017,9,30,Corporate,0,0,0,65.0,0,Not_Canceled,17.8,2.6,14.3,41.2
INN11452,2,0,0,3,Meal Plan 1,0,Room_Type 1,78,2018,9,29,Offline,0,0,0,95.0,1,Not_Canceled,17.8,0.0,18.9,42.8
INN14639,2,0,0,2,Meal Plan 1,0,Room_Type 1,112,2018,6,2,Offline,0,0,0,100.0,0,Not_Canceled,22.6,0.0,9.4,43.5
INN35025,2,0,0,2,Meal Plan 2,0,Room_Type 1,273,2017,7,17,Offline,0,0,0,109.0,0,Canceled,29.0,0.0,17.4,52.3
INN35557,1,0,1,2,Meal Plan 1,0,Room_Type 1,25,2018,10,17,Online,0,0,0,129.0,2,Not_Canceled,20.5,0.0,12.8,38.9
INN16605,2,0,2,2,Not Selected,0,Room_Type 1,72,2018,10,30,Online,0,0,0,79.65,0,Canceled,10.6,9.9,27.0,38.9
INN16712,2,0,2,3,Meal Plan 1,0,Room_Type 1,93,2017,8,15,Online,0,0,0,76.5,2,Canceled,25.5,1.2,21.7,54.8
INN29121,2,0,0,1,Meal Plan 1,0,Room_Type 1,91,2018,7,6,Online,0,0,0,114.3,0,Not_Canceled,27.8,0.1,13.0,53.7
INN00706,2,0,2,0,Not Selected,0,Room_Type 1,24,2018,9,11,Online,0,0,0,71.69,1,Not_Canceled,28.4,0.0,14.9,42.8
INN02147,1,0,2,0,Meal Plan 1,0,Room_Type 1,5,2018,2,28,Corporate,1,0,2,66.0,0,Not_Canceled,-0.2,0.0,26.6,27.3
INN28324,1,0,0,1,Not Selected,0,Room_Type 1,6,2018,12,1,Online,0,0,0,88.0,0,Not_Canceled,10.8,7.2,29.5,37.2
INN01067,2,0,0,2,Meal Plan 1,0,Room_Type 1,57,2018,8,10,Online,0,0,0,135.9,1,Not_Canceled,23.1,0.0,21.1,55.2
INN03571,1,0,0,2,Meal Plan 2,0,Room_Type 1,14,2017,9,17,Online,0,0,0,0.0,0,Not_Canceled,16.0,4.8,9.1,41.2
INN04217,1,0,0,1,Meal Plan 1,0,Room_Type 1,12,2018,12,14,Online,0,0,0,75.2,0,Not_Canceled,2.2,0.0,13.4,37.2
INN30828,1,0,1,0,Not Selected,0,Room_Type 1,5,2017,11,15,Online,0,0,0,73.15,0,Not_Canceled,9.6,0.1,7.2,30.1
INN31916,1,0,0,1,Meal Plan 1,0,Room_Type 1,99,2018,2,19,Corporate,0,0,0,81.0,0,Not_Canceled,5.9,3.8,9.8,27.3
INN27094,2,0,2,5,Meal Plan 1,0,Room_Type 1,97,2018,4,30,Online,0,0,0,109.81,1,Not_Canceled,9.5,21.5,42.2,36.4
INN20703,2,0,1,5,Meal Plan 1,0,Room_Type 1,56,2018,3,28,Online,0,0,0,85.85,1,Canceled,12.9,5.4,31.3,33.8
INN04242,2,0,1,1,Meal Plan 1,0,Room_Type 4,60,2018,9,3,Online,0,0,0,123.3,1,Canceled,24.5,0.0,19.2,42.8
INN09039,1,0,2,1,Not Selected,0,Room_Type 1,8,2018,10,29,Online,0,0,0,85.35,1,Not_Canceled,7.2,0.7,24.3,38.9
INN35501,3,0,0,3,Meal Plan 1,0,Room_Type 4,198,2018,9,22,Online,0,0,0,159.3,1,Canceled,18.9,0.7,30.6,42.8
INN04170,2,0,4,6,Meal Plan 2,0,Room_Type 1,163,2018,8,21,Offline,0,0,0,72.25,1,Not_Canceled,25.5,0.2,10.4,55.2
INN09481,1,0,1,2,Meal Plan 1,0,Room_Type 1,19,2018,9,23,Online,0,0,0,117.81,1,Not_Canceled,23.5,15.0,44.3,42.8
INN25579,2,0,1,2,Meal Plan 1,0,Room_Type 1,20,2018,11,14,Offline,0,0,0,80.0,0,Not_Canceled,13.4,0.0,10.6,31.4
INN00617,1,0,1,1,Meal Plan 1,0,Room_Type 1,3,2017,9,7,Offline,0,0,0,98.8,0,Not_Canceled,20.0,0.8,18.1,41.2
INN15771,2,0,2,1,Meal Plan 1,0,Room_Type 4,1,2018,2,7,Offline,0,0,0,51.5,0,Not_Canceled,0.1,8.8,19.3,27.3
INN24460,2,0,2,0,Meal Plan 1,0,Room_Type 4,30,2018,1,31,Online,0,0,0,79.6,1,Not_Canceled,9.8,13.3,34.9,29.1
INN16818,1,0,1,1,Meal Plan 1,0,Room_Type 1,118,2018,6,6,Offline,0,0,0,110.0,0,Not_Canceled,23.0,14.5,14.8,43.5
INN05383,2,0,2,0,Meal Plan 2,0,Room_Type 1,386,2018,10,23,Online,0,0,0,115.0,1,Canceled,17.0,0.0,17.0,38.9
INN05468,2,0,2,2,Not Selected,0,Room_Type 1,186,2018,9,30,Online,0,0,0,102.6,2,Canceled,17.6,0.0,19.2,42.8
INN04529,2,0,0,3,Meal Plan 1,0,Room_Type 1,304,2018,11,3,Online,0,0,0,89.0,0,Canceled,10.4,0.0,9.7,31.4
INN09155,1,0,0,1,Meal Plan 1,0,Room_Type 4,2,2018,3,2,Offline,0,0,0,55.0,0,Not_Canceled,8.6,2.8,19.6,33.8
INN01973,1,0,1,2,Meal Plan 1,0,Room_Type 4,12,2017,10,5,Offline,0,0,0,75.0,0,Not_Canceled,17.8,2.3,28.6,37.6
INN24453,2,2,1,0,Meal Plan 1,0,Room_Type 6,9,2018,8,1,Online,0,0,0,201.0,3,Not_Canceled,28.5,0.0,11.8,55.2
INN30767,3,0,0,5,Meal Plan 2,0,Room_Type 4,183,2018,8,16,Online,0,0,0,187.5,0,Canceled,29.2,0.0,20.1,55.2
INN01524,2,0,0,3,Meal Plan 1,0,Room_Type 1,79,2017,7,7,Complementary,0,0,0,37.33,1,Not_Canceled,31.1,0.0,17.7,52.3
INN13911,2,0,2,3,Meal Plan 1,0,Room_Type 1,256,2018,10,16,Online,0,0,0,100.75,0,Canceled,24.0,0.0,9.8,38.9
INN28343,2,0,0,2,Meal Plan 1,0,Room_Type 1,97,2018,4,8,Online,0,0,0,96.3,1,Not_Canceled,20.7,0.1,16.8,36.4
INN34617,2,0,0,4,Meal Plan 1,0,Room_Type 1,175,2018,8,31,Online,0,0,0,112.63,0,Canceled,21.0,0.1,11.1,55.2
INN16478,1,0,0,1,Not Selected,0,Room_Type 1,69,2018,10,28,Online,0,0,0,57.52,1,Not_Canceled,8.9,0.2,33.6,38.9
INN28655,2,0,0,1,Meal Plan 1,0,Room_Type 1,10,2018,9,1,Offline,0,0,0,95.0,1,Not_Canceled,22.4,0.0,12.0,42.8
