lead_time,no_of_special_requests,avg_price_per_room,no_of_weekend_nights,no_of_week_nights,temperature_max,market_segment_type,windspeed_max,arrival_month,arrival_date,booking_status
67.0,2.0,88.4,0.0,4.0,9.2,4,11.6,11.0,23.0,0
177.0,0.0,123.75,1.0,4.0,33.7,4,17.7,8.0,3.0,0
101.0,0.0,54.06,1.0,5.0,14.4,4,11.5,4.0,12.0,1
15.0,0.0,80.0,0.0,1.0,5.9,2,9.8,2.0,19.0,1
30.0,0.0,94.2,0.0,1.0,21.0,4,11.1,8.0,31.0,1
89.0,0.0,128.85,2.0,2.0,25.3,4,25.3,5.0,8.0,1
21.0,0.0,133.5,0.0,4.0,24.3,4,15.8,9.0,29.0,0
6.0,0.0,70.0,2.0,4.0,22.4,3,22.9,8.0,5.0,1
135.0,2.0,119.85,1.0,3.0,21.7,4,16.6,6.0,16.0,1
1.0,0.0,0.0,0.0,1.0,8.6,4,19.6,3.0,2.0,1
37.0,2.0,145.8,1.0,3.0,20.0,4,13.4,9.0,21.0,1
45.0,1.0,75.0,2.0,5.0,12.6,3,25.9,11.0,7.0,1
168.0,2.0,72.25,2.0,3.0,30.0,3,17.2,8.0,12.0,1
143.0,0.0,100.3,2.0,3.0,22.6,4,9.4,6.0,2.0,0
25.0,0.0,75.2,0.0,1.0,13.4,4,26.2,11.0,29.0,1
102.0,0.0,101.5,0.0,2.0,24.7,4,16.2,10.0,16.0,0
4.0,2.0,81.6,2.0,2.0,8.4,3,10.0,12.0,5.0,1
108.0,2.0,108.0,1.0,3.0,20.5,4,12.8,10.0,17.0,1
8.0,1.0,65.0,0.0,1.0,24.5,2,22.7,7.0,28.0,1
56.0,0.0,185.0,2.0,2.0,19.5,3,10.1,9.0,25.0,1
12.0,0.0,220.0,0.0,1.0,27.4,4,16.5,8.0,19.0,0
0.0,0.0,80.0,1.0,0.0,28.6,4,23.8,8.0,23.0,1
37.0,1.0,75.0,2.0,1.0,10.6,3,27.0,10.0,30.0,1
0.0,0.0,158.0,1.0,1.0,21.0,4,16.8,5.0,9.0,1
39.0,0.0,87.0,0.0,2.0,26.4,3,13.8,8.0,14.0,1
36.0,0.0,103.95,0.0,1.0,20.7,4,16.8,4.0,8.0,1
63.0,2.0,131.75,0.0,5.0,34.0,3,7.7,7.0,26.0,1
87.0,1.0,112.01,2.0,2.0,21.8,4,11.4,5.0,29.0,1
58.0,1.0,79.2,1.0,2.0,8.9,4,25.9,11.0,13.0,1
301.0,0.0,52.0,0.0,2.0,8.4,3,18.7,11.0,18.0,0
346.0,1.0,115.0,0.0,2.0,19.0,4,14.8,9.0,13.0,0
361.0,0.0,91.0,0.0,1.0,12.6,4,13.5,11.0,4.0,0
3.0,0.0,65.0,1.0,0.0,23.0,2,14.8,6.0,6.0,1
49.0,0.0,71.0,0.0,4.0,14.4,3,32.9,12.0,30.0,1
19.0,0.0,135.0,0.0,1.0,24.5,4,13.8,5.0,7.0,1
74.0,0.0,101.5,0.0,2.0,16.4,3,18.1,9.0,18.0,1
34.0,1.0,107.1,0.0,3.0,19.7,4,18.7,6.0,14.0,1
73.0,1.0,79.05,1.0,4.0,11.8,4,17.2,3.0,16.0,0
0.0,0.0,67.0,0.0,1.0,8.1,2,17.3,11.0,25.0,1
94.0,1.0,96.3,0.0,2.0,14.4,4,11.5,4.0,12.0,1
134.0,1.0,76.58,1.0,4.0,21.0,4,16.8,5.0,9.0,1
1.0,0.0,80.0,1.0,0.0,10.9,4,40.3,1.0,18.0,1
75.0,1.0,127.8,0.0,1.0,26.3,4,19.7,7.0,30.0,1
100.0,1.0,140.0,0.0,4.0,20.0,3,25.1,9.0,28.0,1
91.0,0.0,116.1,1.0,1.0,21.6,4,15.6,6.0,18.0,0
22.0,0.0,95.0,0.0,3.0,25.4,3,24.5,10.0,11.0,1
13.0,0.0,153.0,1.0,1.0,24.0,4,9.4,8.0,24.0,1
32.0,0.0,73.0,0.0,2.0,10.5,3,24.0,11.0,20.0,1
63.0,1.0,126.9,0.0,3.0,24.8,4,14.3,6.0,9.0,0
26.0,0.0,127.2,1.0,3.0,24.6,4,13.4,9.0,5.0,0
296.0,1.0,117.0,0.0,4.0,21.0,4,28.3,9.0,21.0,0
8.0,0.0,95.0,0.0,1.0,10.2,4,25.4,4.0,5.0,0
7.0,0.0,130.67,2.0,1.0,23.2,4,21.6,8.0,13.0,0
263.0,0.0,110.0,0.0,2.0,18.0,3,10.6,10.0,21.0,0
140.0,0.0,70.0,0.0,5.0,8.0,3,36.1,12.0,29.0,1
131.0,0.0,94.5,2.0,1.0,25.5,3,21.7,8.0,15.0,1
6.0,0.0,137.0,0.0,3.0,11.7,4,16.2,3.0,3.0,0
219.0,1.0,145.1,0.0,2.0,19.0,4,14.8,9.0,13.0,0
19.0,0.0,75.0,1.0,1.0,27.1,3,13.8,7.0,18.0,1
16.0,4.0,142.0,0.0,2.0,15.2,4,21.4,10.0,1.0,1
57.0,0.0,75.0,0.0,2.0,24.9,3,8.8,9.0,16.0,1
7.0,1.0,152.0,1.0,2.0,15.6,4,33.1,9.0,14.0,1
18.0,1.0,65.0,0.0,1.0,21.3,2,25.1,10.0,18.0,1
31.0,1.0,64.67,2.0,5.0,13.4,4,10.6,11.0,14.0,1
6.0,0.0,85.0,2.0,1.0,26.0,3,8.3,8.0,28.0,1
148.0,0.0,67.0,1.0,4.0,14.4,3,32.9,12.0,30.0,1
63.0,3.0,118.33,0.0,3.0,12.3,4,29.7,11.0,10.0,1
178.0,0.0,94.62,0.0,3.0,26.5,4,21.5,8.0,23.0,0
151.0,0.0,71.0,0.0,4.0,6.8,3,24.2,1.0,19.0,1
93.0,2.0,72.25,1.0,3.0,4.8,4,12.8,12.0,3.0,1
102.0,2.0,86.4,0.0,2.0,13.4,4,21.9,12.0,6.0,0
167.0,1.0,72.25,2.0,3.0,32.3,3,23.9,8.0,4.0,1
57.0,1.0,103.8,2.0,1.0,10.6,4,27.0,10.0,30.0,1
181.0,2.0,76.5,0.0,2.0,23.5,4,12.6,8.0,6.0,0
245.0,0.0,107.59,2.0,5.0,18.9,4,30.6,9.0,22.0,0
49.0,0.0,80.75,0.0,2.0,24.5,3,14.3,6.0,3.0,1
71.0,0.0,120.0,0.0,3.0,19.7,3,18.7,6.0,14.0,1
44.0,0.0,75.0,0.0,3.0,8.6,3,11.2,2.0,17.0,1
2.0,0.0,63.75,2.0,3.0,25.5,3,16.4,6.0,26.0,1
147.0,2.0,106.25,2.0,5.0,26.8,4,23.2,6.0,28.0,1
0.0,0.0,223.0,0.0,1.0,18.2,4,15.9,5.0,19.0,0
44.0,0.0,67.5,0.0,2.0,6.0,4,20.3,2.0,12.0,0
116.0,0.0,59.5,2.0,2.0,14.2,4,12.5,3.0,25.0,0
11.0,1.0,126.0,2.0,1.0,25.3,4,25.3,5.0,8.0,1
129.0,1.0,114.3,0.0,1.0,32.5,4,10.1,8.0,6.0,1
13.0,1.0,85.29,2.0,5.0,27.9,4,11.1,8.0,27.0,0
186.0,0.0,80.75,2.0,2.0,23.6,3,13.0,9.0,2.0,1
20.0,2.0,93.0,2.0,1.0,0.1,4,19.3,2.0,7.0,1
12.0,0.0,95.0,1.0,3.0,10.6,4,24.6,2.0,15.0,1
10.0,0.0,80.75,1.0,1.0,8.4,4,10.0,12.0,5.0,1
102.0,0.0,59.5,1.0,2.0,12.6,3,25.9,11.0,7.0,0
7.0,0.0,94.0,1.0,0.0,26.2,2,20.5,8.0,8.0,1
26.0,3.0,124.0,2.0,1.0,17.8,4,22.8,9.0,12.0,1
106.0,1.0,90.95,2.0,2.0,19.6,4,14.8,4.0,17.0,1
320.0,1.0,115.0,0.0,2.0,25.1,3,15.5,8.0,18.0,0
0.0,1.0,69.0,3.0,7.0,3.8,4,19.2,11.0,30.0,1
13.0,0.0,81.0,0.0,2.0,9.6,4,34.7,3.0,8.0,1
15.0,0.0,103.44,0.0,3.0,18.1,4,27.3,4.0,27.0,0
270.0,0.0,80.0,0.0,4.0,26.5,3,9.5,4.0,20.0,1
102.0,0.0,89.25,1.0,2.0,24.7,4,16.2,10.0,16.0,1
102.0,0.0,87.0,0.0,2.0,24.7,3,16.2,10.0,16.0,1
1.0,0.0,65.0,0.0,1.0,17.8,2,14.3,9.0,30.0,1
78.0,1.0,95.0,0.0,3.0,17.8,3,18.9,9.0,29.0,1
112.0,0.0,100.0,0.0,2.0,22.6,3,9.4,6.0,2.0,1
273.0,0.0,109.0,0.0,2.0,29.0,3,17.4,7.0,17.0,0
25.0,2.0,129.0,1.0,2.0,20.5,4,12.8,10.0,17.0,1
72.0,0.0,79.65,2.0,2.0,10.6,4,27.0,10.0,30.0,0
93.0,2.0,76.5,2.0,3.0,25.5,4,21.7,8.0,15.0,0
91.0,0.0,114.3,0.0,1.0,27.8,4,13.0,7.0,6.0,1
24.0,1.0,71.69,2.0,0.0,28.4,4,14.9,9.0,11.0,1
5.0,0.0,66.0,2.0,0.0,-0.2,2,26.6,2.0,28.0,1
6.0,0.0,88.0,0.0,1.0,10.8,4,29.5,12.0,1.0,1
57.0,1.0,135.9,0.0,2.0,23.1,4,21.1,8.0,10.0,1
14.0,0.0,0.0,0.0,2.0,16.0,4,9.1,9.0,17.0,1
12.0,0.0,75.2,0.0,1.0,2.2,4,13.4,12.0,14.0,1
5.0,0.0,73.15,1.0,0.0,9.6,4,7.2,11.0,15.0,1
99.0,0.0,81.0,0.0,1.0,5.9,2,9.8,2.0,19.0,1
97.0,1.0,109.81,2.0,5.0,9.5,4,42.2,4.0,30.0,1
56.0,1.0,85.85,1.0,5.0,12.9,4,31.3,3.0,28.0,0
60.0,1.0,123.3,1.0,1.0,24.5,4,19.2,9.0,3.0,0
8.0,1.0,85.35,2.0,1.0,7.2,4,24.3,10.0,29.0,1
198.0,1.0,159.3,0.0,3.0,18.9,4,30.6,9.0,22.0,0
163.0,1.0,72.25,4.0,6.0,25.5,3,10.4,8.0,21.0,1
19.0,1.0,117.81,1.0,2.0,23.5,4,44.3,9.0,23.0,1
20.0,0.0,80.0,1.0,2.0,13.4,3,10.6,11.0,14.0,1
3.0,0.0,98.8,1.0,1.0,20.0,3,18.1,9.0,7.0,1
1.0,0.0,51.5,2.0,1.0,0.1,3,19.3,2.0,7.0,1
30.0,1.0,79.6,2.0,0.0,9.8,4,34.9,1.0,31.0,1
118.0,0.0,110.0,1.0,1.0,23.0,3,14.8,6.0,6.0,1
386.0,1.0,115.0,2.0,0.0,17.0,4,17.0,10.0,23.0,0
186.0,2.0,102.6,2.0,2.0,17.6,4,19.2,9.0,30.0,0
304.0,0.0,89.0,0.0,3.0,10.4,4,9.7,11.0,3.0,0
2.0,0.0,55.0,0.0,1.0,8.6,3,19.6,3.0,2.0,1
12.0,0.0,75.0,1.0,2.0,17.8,3,28.6,10.0,5.0,1
9.0,3.0,201.0,1.0,0.0,28.5,4,11.8,8.0,1.0,1
183.0,0.0,187.5,0.0,5.0,29.2,4,20.1,8.0,16.0,0
79.0,1.0,37.33,0.0,3.0,31.1,1,17.7,7.0,7.0,1
256.0,0.0,100.75,2.0,3.0,24.0,4,9.8,10.0,16.0,0
97.0,1.0,96.3,0.0,2.0,20.7,4,16.8,4.0,8.0,1
175.0,0.0,112.63,0.0,4.0,21.0,4,11.1,8.0,31.0,0
69.0,1.0,57.52,0.0,1.0,8.9,4,33.6,10.0,28.0,1
10.0,1.0,95.0,0.0,1.0,22.4,3,12.0,9.0,1.0,1
0.0,0.0,62.8,2.0,3.0,9.4,3,15.9,12.0,24.0,1
122.0,0.0,86.0,2.0,1.0,12.6,3,24.1,3.0,27.0,1
11.0,1.0,95.48,0.0,3.0,11.8,4,17.2,3.0,16.0,1
67.0,1.0,125.1,0.0,1.0,23.2,4,21.6,8.0,13.0,1
42.0,1.0,106.8,0.0,3.0,8.1,4,23.1,11.0,25.0,1
4.0,0.0,109.0,2.0,1.0,11.9,3,27.7,1.0,2.0,1
4.0,0.0,59.0,1.0,0.0,11.6,2,30.6,1.0,25.0,1
133.0,0.0,88.5,1.0,2.0,11.9,4,22.4,4.0,29.0,0
74.0,0.0,55.24,1.0,4.0,8.6,4,11.2,2.0,17.0,1
2.0,0.0,102.7,0.0,1.0,31.1,4,14.5,8.0,2.0,1
135.0,2.0,94.5,2.0,0.0,23.0,4,13.6,5.0,22.0,1
128.0,1.0,105.4,0.0,3.0,17.6,3,19.9,5.0,4.0,1
0.0,0.0,89.0,1.0,0.0,21.0,4,16.8,5.0,9.0,1
6.0,0.0,81.0,1.0,0.0,28.6,4,23.8,8.0,23.0,1
38.0,0.0,85.0,0.0,2.0,15.4,2,26.8,12.0,2.0,1
20.0,0.0,156.0,0.0,1.0,20.0,4,13.4,5.0,11.0,0
240.0,2.0,90.95,1.0,3.0,9.6,4,15.6,10.0,27.0,1
34.0,2.0,74.8,2.0,5.0,13.4,4,10.6,11.0,14.0,0
79.0,0.0,75.0,0.0,2.0,8.9,3,25.9,11.0,13.0,1
126.0,2.0,125.45,2.0,3.0,20.2,4,20.0,5.0,15.0,1
4.0,1.0,88.0,0.0,1.0,2.2,4,13.4,12.0,14.0,1
31.0,1.0,125.1,0.0,1.0,20.5,4,9.7,10.0,4.0,1
2.0,0.0,75.0,2.0,1.0,17.2,3,9.7,9.0,20.0,1
35.0,0.0,84.24,0.0,2.0,20.9,4,17.7,6.0,1.0,0
147.0,1.0,127.93,2.0,2.0,27.6,4,11.5,7.0,3.0,1
176.0,2.0,137.7,0.0,3.0,20.2,4,27.5,8.0,9.0,0
0.0,0.0,65.0,1.0,0.0,21.1,2,16.3,5.0,23.0,1
22.0,2.0,206.0,1.0,3.0,17.4,4,19.1,6.0,13.0,1
31.0,1.0,135.9,0.0,2.0,34.8,4,20.8,7.0,27.0,0
73.0,1.0,149.4,1.0,3.0,26.1,4,19.8,9.0,19.0,0
2.0,0.0,98.0,0.0,2.0,8.5,4,20.9,3.0,22.0,1
83.0,0.0,75.0,2.0,0.0,8.9,3,21.8,12.0,18.0,1
8.0,0.0,101.0,0.0,1.0,1.0,2,18.6,2.0,6.0,1
11.0,1.0,80.3,0.0,2.0,10.7,4,31.0,1.0,20.0,1
192.0,0.0,94.5,0.0,2.0,33.7,4,17.7,8.0,3.0,0
39.0,2.0,130.9,2.0,8.0,12.1,4,39.1,12.0,8.0,1
188.0,0.0,130.0,0.0,2.0,22.0,4,11.8,6.0,15.0,0
64.0,0.0,70.46,6.0,13.0,17.2,4,21.8,3.0,10.0,0
39.0,2.0,96.3,0.0,1.0,13.8,4,21.3,10.0,23.0,1
47.0,0.0,119.52,2.0,2.0,25.7,4,18.9,9.0,18.0,1
74.0,0.0,109.0,0.0,2.0,16.4,3,18.1,9.0,18.0,1
27.0,2.0,195.5,1.0,1.0,26.2,4,20.5,8.0,8.0,1
256.0,1.0,115.0,0.0,2.0,22.0,3,11.8,6.0,15.0,0
267.0,0.0,95.0,1.0,2.0,17.6,3,19.2,9.0,30.0,0
33.0,1.0,120.6,1.0,0.0,18.8,4,15.3,10.0,3.0,1
47.0,1.0,86.35,2.0,2.0,17.2,4,20.7,3.0,11.0,1
54.0,0.0,117.9,2.0,1.0,27.6,4,11.5,7.0,3.0,0
95.0,0.0,80.75,1.0,2.0,25.3,3,14.2,5.0,6.0,1
89.0,1.0,87.3,0.0,2.0,10.9,4,20.9,4.0,1.0,1
104.0,0.0,150.3,0.0,4.0,19.9,4,18.8,8.0,24.0,0
156.0,1.0,106.89,2.0,6.0,30.0,4,17.2,8.0,12.0,0
213.0,0.0,130.0,0.0,3.0,23.6,3,13.8,6.0,7.0,0
44.0,1.0,66.29,2.0,5.0,5.2,4,20.1,2.0,21.0,1
86.0,1.0,90.95,1.0,3.0,14.9,4,19.9,4.0,25.0,1
78.0,1.0,108.45,0.0,4.0,18.4,4,20.9,4.0,6.0,1
76.0,1.0,140.4,0.0,3.0,19.2,4,26.3,5.0,12.0,1
170.0,1.0,112.2,2.0,3.0,23.8,4,12.8,8.0,11.0,0
4.0,0.0,67.5,1.0,1.0,9.2,4,34.7,1.0,16.0,1
131.0,0.0,94.5,2.0,1.0,25.5,3,21.7,8.0,15.0,0
19.0,0.0,115.0,0.0,1.0,11.7,4,16.2,3.0,3.0,0
97.0,0.0,84.43,2.0,4.0,12.4,4,15.3,5.0,1.0,0
0.0,1.0,129.0,0.0,1.0,19.5,4,16.3,6.0,17.0,1
275.0,0.0,90.0,1.0,4.0,24.5,3,11.3,10.0,5.0,0
16.0,1.0,111.75,1.0,3.0,15.2,4,21.4,10.0,1.0,1
146.0,0.0,95.0,2.0,0.0,19.5,3,18.3,4.0,24.0,0
35.0,0.0,73.1,0.0,2.0,8.6,4,19.6,3.0,2.0,0
20.0,0.0,70.42,1.0,2.0,5.4,4,23.4,12.0,28.0,1
191.0,0.0,132.0,1.0,2.0,24.5,3,14.3,6.0,3.0,0
36.0,1.0,68.07,2.0,6.0,9.2,4,19.8,12.0,10.0,1
105.0,1.0,114.3,1.0,3.0,28.9,4,12.5,7.0,7.0,1
10.0,0.0,110.0,0.0,1.0,17.6,0,19.2,9.0,30.0,0
6.0,1.0,87.27,1.0,2.0,11.7,4,16.3,10.0,30.0,1
167.0,0.0,96.3,1.0,2.0,23.0,4,21.7,8.0,26.0,0
138.0,0.0,142.2,0.0,2.0,25.1,4,15.5,8.0,18.0,0
3.0,0.0,185.57,0.0,2.0,19.7,4,19.6,4.0,7.0,1
33.0,1.0,149.0,0.0,4.0,14.1,4,20.6,10.0,26.0,0
290.0,0.0,72.0,1.0,2.0,19.5,3,16.3,6.0,17.0,0
246.0,0.0,104.55,1.0,3.0,4.8,4,9.2,12.0,26.0,1
75.0,0.0,90.0,2.0,0.0,19.6,4,14.8,4.0,17.0,1
12.0,0.0,55.72,2.0,2.0,1.0,4,18.6,2.0,6.0,1
14.0,1.0,91.0,2.0,2.0,0.1,4,19.3,2.0,7.0,0
7.0,0.0,58.0,0.0,3.0,4.6,3,17.6,12.0,9.0,1
4.0,0.0,55.0,1.0,2.0,8.4,3,30.7,11.0,27.0,1
177.0,0.0,84.39,2.0,5.0,29.3,4,15.8,8.0,22.0,0
176.0,0.0,108.9,0.0,2.0,15.2,4,19.3,10.0,7.0,0
5.0,0.0,167.0,1.0,0.0,25.5,4,10.4,8.0,21.0,0
308.0,1.0,78.3,0.0,3.0,9.2,4,11.6,11.0,23.0,0
88.0,0.0,112.2,1.0,1.0,17.8,3,28.6,10.0,5.0,1
4.0,0.0,80.0,0.0,1.0,5.9,2,9.8,2.0,19.0,0
188.0,1.0,80.75,2.0,5.0,29.1,4,11.8,7.0,23.0,1
46.0,1.0,96.16,3.0,5.0,11.2,4,26.2,3.0,13.0,0
9.0,1.0,67.0,0.0,2.0,26.0,2,16.7,10.0,13.0,1
9.0,2.0,194.0,1.0,3.0,27.3,4,17.1,6.0,27.0,1
0.0,0.0,75.0,1.0,0.0,18.8,2,15.3,10.0,3.0,1
235.0,2.0,105.3,1.0,1.0,32.5,4,10.1,8.0,6.0,0
96.0,0.0,82.45,0.0,2.0,23.8,3,12.8,8.0,11.0,1
135.0,1.0,79.72,1.0,4.0,21.0,4,16.8,5.0,9.0,0
101.0,0.0,80.0,1.0,2.0,13.8,3,27.4,4.0,4.0,0
212.0,1.0,78.0,2.0,3.0,21.6,3,14.8,5.0,20.0,1
28.0,2.0,75.0,0.0,1.0,24.5,3,6.6,9.0,27.0,1
13.0,0.0,75.0,1.0,0.0,7.4,3,27.2,3.0,20.0,1
306.0,3.0,104.4,2.0,1.0,24.3,4,17.4,8.0,14.0,1
51.0,1.0,83.3,1.0,3.0,7.0,4,17.7,3.0,21.0,1
177.0,0.0,80.75,1.0,2.0,25.0,3,27.7,10.0,14.0,1
17.0,0.0,142.54,2.0,2.0,18.4,4,28.5,11.0,6.0,1
45.0,2.0,151.2,0.0,3.0,20.4,4,12.7,8.0,30.0,1
244.0,2.0,94.5,0.0,2.0,14.4,4,39.5,12.0,21.0,0
100.0,1.0,136.0,1.0,3.0,18.2,4,15.9,5.0,19.0,1
41.0,0.0,76.5,0.0,1.0,13.6,4,22.0,3.0,15.0,0
192.0,0.0,95.0,0.0,2.0,21.5,3,16.8,6.0,24.0,1
24.0,0.0,157.0,0.0,2.0,19.7,4,18.4,6.0,22.0,0
29.0,1.0,129.0,0.0,2.0,16.5,4,14.5,10.0,20.0,0
18.0,2.0,12.0,0.0,3.0,20.5,4,16.2,9.0,2.0,1
104.0,1.0,91.48,0.0,4.0,21.3,4,25.1,10.0,18.0,1
4.0,2.0,133.33,1.0,2.0,8.9,4,33.6,10.0,28.0,1
34.0,0.0,122.4,2.0,1.0,23.8,4,11.1,6.0,19.0,0
64.0,2.0,65.36,0.0,2.0,6.8,4,24.2,1.0,19.0,1
1.0,0.0,85.0,0.0,1.0,12.0,4,23.5,1.0,23.0,1
138.0,1.0,71.67,2.0,2.0,28.9,4,14.1,7.0,2.0,1
12.0,1.0,118.5,0.0,2.0,21.0,4,11.1,8.0,31.0,1
28.0,2.0,104.5,0.0,4.0,20.4,4,12.7,8.0,30.0,1
164.0,0.0,100.0,0.0,2.0,19.6,3,24.9,10.0,2.0,1
20.0,0.0,65.0,0.0,1.0,28.5,2,22.3,6.0,29.0,1
5.0,0.0,80.0,2.0,2.0,8.9,3,21.8,12.0,18.0,1
9.0,0.0,67.5,0.0,2.0,7.0,4,8.7,1.0,14.0,1
12.0,1.0,89.0,1.0,2.0,9.9,4,39.9,1.0,15.0,1
102.0,0.0,101.5,0.0,2.0,24.7,3,16.2,10.0,16.0,0
48.0,2.0,93.5,2.0,2.0,7.4,4,27.2,3.0,20.0,1
7.0,2.0,241.0,0.0,2.0,25.2,4,16.9,5.0,25.0,1
55.0,0.0,104.0,0.0,1.0,18.4,3,20.9,4.0,6.0,1
90.0,0.0,112.88,0.0,3.0,19.9,3,21.4,9.0,7.0,1
50.0,1.0,123.3,1.0,2.0,23.6,4,13.0,9.0,2.0,0
81.0,0.0,59.5,2.0,2.0,3.0,3,17.6,3.0,18.0,1
275.0,0.0,62.8,1.0,1.0,24.7,3,14.5,6.0,4.0,0
113.0,0.0,100.0,0.0,3.0,22.8,2,14.8,5.0,31.0,0
18.0,1.0,142.43,2.0,5.0,22.6,4,21.9,8.0,27.0,0
141.0,1.0,72.76,1.0,0.0,21.1,4,16.3,5.0,23.0,1
29.0,0.0,98.0,0.0,3.0,14.4,4,11.5,4.0,12.0,0
50.0,1.0,108.0,0.0,1.0,19.2,4,16.2,10.0,19.0,0
20.0,0.0,67.0,2.0,0.0,11.1,2,22.0,12.0,4.0,1
39.0,0.0,101.5,0.0,2.0,26.4,3,13.8,8.0,14.0,1
2.0,0.0,89.0,0.0,1.0,10.2,4,30.2,3.0,30.0,1
40.0,0.0,135.76,2.0,5.0,24.7,4,21.9,4.0,22.0,0
69.0,0.0,123.98,2.0,6.0,22.4,4,12.0,9.0,1.0,0
3.0,0.0,119.0,1.0,4.0,23.4,2,25.5,8.0,17.0,0
2.0,0.0,99.14,2.0,5.0,19.8,4,21.6,8.0,19.0,1
143.0,0.0,106.0,1.0,3.0,27.1,2,13.8,7.0,18.0,1
377.0,1.0,115.0,0.0,2.0,25.0,3,27.7,10.0,14.0,0
0.0,0.0,15.0,1.0,0.0,21.8,4,18.8,7.0,10.0,1
14.0,1.0,139.0,2.0,5.0,5.0,4,25.3,2.0,14.0,1
144.0,0.0,95.4,0.0,3.0,22.6,4,9.4,6.0,2.0,1
1.0,1.0,74.25,1.0,1.0,13.3,4,35.0,1.0,4.0,1
4.0,0.0,93.0,0.0,1.0,6.3,4,12.0,2.0,20.0,1
101.0,0.0,70.0,1.0,2.0,13.8,3,27.4,4.0,4.0,0
296.0,1.0,117.0,0.0,4.0,21.0,3,28.3,9.0,21.0,0
0.0,0.0,124.0,1.0,3.0,20.2,4,13.4,8.0,10.0,1
143.0,0.0,100.0,0.0,3.0,19.1,3,19.8,8.0,25.0,1
109.0,3.0,131.4,1.0,3.0,23.8,4,12.8,8.0,11.0,1
92.0,1.0,89.25,0.0,5.0,15.2,4,20.6,10.0,6.0,1
13.0,0.0,96.0,0.0,3.0,14.3,3,20.2,4.0,26.0,1
224.0,2.0,128.7,2.0,1.0,17.0,4,17.0,10.0,23.0,0
386.0,1.0,115.0,2.0,0.0,17.0,3,17.0,10.0,23.0,0
161.0,0.0,130.0,1.0,2.0,14.2,3,12.5,3.0,25.0,0
36.0,0.0,214.75,1.0,0.0,25.5,4,10.4,8.0,21.0,0
21.0,0.0,196.0,1.0,1.0,17.6,4,11.8,4.0,11.0,0
81.0,2.0,89.25,2.0,3.0,18.5,4,14.8,10.0,24.0,1
28.0,1.0,144.8,1.0,2.0,21.6,4,14.8,5.0,20.0,1
237.0,0.0,80.75,1.0,2.0,15.6,4,33.1,9.0,14.0,0
46.0,1.0,98.1,0.0,1.0,19.9,4,21.4,9.0,7.0,1
137.0,0.0,133.2,0.0,4.0,26.5,4,21.5,8.0,23.0,0
85.0,0.0,100.0,0.0,3.0,17.8,3,14.3,9.0,30.0,1
34.0,1.0,66.0,1.0,4.0,8.6,3,11.2,2.0,17.0,1
0.0,1.0,141.0,0.0,1.0,19.2,4,26.3,5.0,12.0,1
